anime_id,Anime Name,rating
54839,Yoru no Kurage wa Oyogenai,7
34537,Yoru wa Mijikashi Arukeyo Otome,7
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7
51096,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,7
53865,Yozakura-san Chi no Daisakusen,6
55866,Yubisaki to Renren,6
53632,Yumemiru Danshi wa Genjitsushugisha,6
26165,Yuri Kuma Arashi,8
54112,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8
37976,Zombieland Saga,7
40174,Zombieland Saga Revenge,8
52034,[Oshi no Ko],9
55791,[Oshi no Ko] 2nd Season,10
136,Hunter x Hunter,0
11061,Hunter x Hunter (2011),0
31646,3-gatsu no Lion,0
34051,Akiba's Trip The Animation,0
54852,Kikansha no Mahou wa Tokubetsu desu,0
50796,Kimi wa Houkago Insomnia,0
54722,Mahou Shoujo ni Akogarete,0
21,One Piece,0
30276,One Punch Man,0
51297,Ragna Crimson,0
47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",0
50346,Yofukashi no Uta,0
36793,3D Kanojo: Real Girl,0
48569,86 Part 2,0
25397,Absolute Duo,0
49520,Aharen-san wa Hakarenai,0
42847,Ai no Utagoe wo Kikasete,0
30123,Akagami no Shirayuki-hime,0
25013,Akatsuki no Yona,0
48553,Akebi-chan no Sailor-fuku,0
16201,Aku no Hana,0
8676,Amagami SS,0
11111,Another,0
51614,Ao no Orchestra,0
477,Aria the Animation,0
3297,Aria the Origination,0
37171,Asobi Asobase,0
14669,Aura: Maryuuin Kouga Saigo no Tatakai,0
66,Azumanga Daiou The Animation,0
37525,Babylon,0
2251,Baccano!,0
7674,Bakuman.,0
50854,"Benriya Saitou-san, Isekai ni Iku",0
41467,Bleach: Sennen Kessen-hen,0
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,0
10719,Boku wa Tomodachi ga Sukunai,0
14967,Boku wa Tomodachi ga Sukunai Next,0
14345,Btooom!,0
37435,Carole & Tuesday,0
10800,Chihayafuru,0
59,Chobits,0
38390,Chuubyou Gekihatsu Boy,0
34382,Citrus,0
30383,Classroom☆Crisis,0
2904,Code Geass: Hangyaku no Lelouch R2,0
25731,Cross Ange: Tenshi to Ryuu no Rondo,0
31636,Dagashi Kashi,0
52505,Dark Gathering,0
53613,Dead Mount Death Play,0
28223,Death Parade,0
9379,Denpa Onna to Seishun Otoko,0
48542,Do It Yourself!!,0
790,Ergo Proxy,0
10087,Fate/Zero,0
227,FLCL,0
41120,Fugou Keiji: Balance:Unlimited,0
71,Full Metal Panic!,0
5114,Fullmetal Alchemist: Brotherhood,0
41025,Fumetsu no Anata e,0
126,Futakoi Alternative,0
53933,Futari-bun no Shoumei,0
33731,Gabriel DropOut,0
24765,Gakkougurashi!,0
32455,Gekidol: Actidol Project,0
52214,Genjitsu no Yohane: Sunshine in the Mirror,0
918,Gintama,0
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,0
9969,Gintama',0
15417,Gintama': Enchousen,0
34096,Gintama.,0
36838,Gintama. Shirogane no Tamashii-hen,0
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,0
39486,Gintama: The Final,0
28977,Gintama°,0
39533,Given,0
39463,Gleipnir,0
37349,Goblin Slayer,0
29787,Gochuumon wa Usagi desu ka??,0
36028,Golden Kamuy,0
56146,Good Night World,0
17729,Grisaia no Kajitsu,0
10793,Guilty Crown,0
31859,Hai to Gensou no Grimgar,0
387,Haibane Renmei,0
35983,Harukana Receive,0
57892,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",0
48857,Healer Girl,0
8074,Highschool of the Dead,0
28825,Himouto! Umaru-chan,0
36296,Hinamatsuri,0
57891,Hitoribocchi no Isekai Kouryaku,0
35557,Houseki no Kuni,0
488,Ichigo Mashimaro,0
40842,Idoly Pride,0
11013,Inu x Boku SS,0
9041,IS: Infinite Stratos,0
